"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Skorupi","Poison Sting","Cross Poison","5.703","88.7","16.4","1009"
"Spinarak","Poison Sting","Cross Poison","6.606","54.5","15.7","816"
"Ekans","Acid","Poison Fang","6.174","60.5","14.2","927"
"Mareanie","Poison Sting","Sludge Wave","5.712","75.3","14","972"
"Venipede","Poison Sting","Sludge Bomb","6.127","56.7","13","706"
"Toxtricity","Acid","Acid Spray","4.889","103.1","12","2601"
"Toxtricity","Poison Jab","Acid Spray","4.889","103.1","12","2601"
"Ekans","Poison Sting","Poison Fang","5.814","56.9","11.2","927"
"Alolan Muk","Poison Jab","Acid Spray","4.217","135.7","10.2","2757"
"Muk","Poison Jab","Acid Spray","4.217","135.7","10.2","2757"
"Muk","Acid","Acid Spray","4.217","135.7","10.2","2757"
"Victreebel","Acid","Acid Spray","4.553","97.2","9.2","2431"
"Nidoran♀","Poison Sting","Poison Fang","4.88","56.7","6.6","816"
"Tentacruel","Acid","Acid Spray","3.743","119.3","6.3","2422"
"Tentacruel","Poison Jab","Acid Spray","3.743","119.3","6.3","2422"
"Qwilfish","Poison Sting","Acid Spray","4.098","77.5","5.3","2051"
"Arbok","Acid","Acid Spray","3.763","74.6","4","1921"
