"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Furret","Quick Attack","Hyper Beam","9.834","203.5","193.5","1758"
"Sawsbuck","Take Down","Hyper Beam","9.579","219.4","192.9","2416"
"Castform","Tackle","Weather Ball","9.908","198","192.6","1632"
"Alolan Raticate","Quick Attack","Return","9.545","219.4","190.8","1705"
"Alolan Raticate","Quick Attack","Hyper Fang","9.263","212.9","169.2","1705"
"Porygon","Tackle","Hyper Beam","9.737","181.6","167.7","1720"
"Munchlax","Tackle","Body Slam","8.797","242.6","165.1","1892"
"Alolan Raticate","Quick Attack","Hyper Beam","9.017","207.3","152","1705"
"Teddiursa","Scratch","Return","10.312","131.4","144.1","1328"
"Staravia","Quick Attack","Return","10.282","125.2","136.1","1299"
"Audino","Pound","Hyper Beam","8.144","246.5","133.1","1682"
"Aipom","Scratch","Return","9.76","138.5","128.7","1348"
"Bibarel","Take Down","Hyper Fang","8.986","169.6","123.1","1823"
"Snorlax","Yawn","Body Slam","7.223","318.2","119.9","3225"
"Bibarel","Take Down","Return","8.664","163.6","106.4","1823"
"Dubwool","Take Down","Body Slam","7.832","221.1","106.2","2191"
"Diggersby","Quick Attack","Hyper Beam","7.753","194.8","90.8","1509"
"Snorlax","Yawn","Hyper Beam","6.646","292.8","85.9","3225"
"Snorlax","Yawn","Return","6.553","288.7","81.2","3225"
"Bibarel","Take Down","Hyper Beam","8.04","151.8","78.9","1823"
"Stufful","Tackle","Stomp","8.601","122.8","78.1","1352"
"Snorlax","Yawn","Skull Bash","6.232","274.5","66.5","3225"
"Aipom","Scratch","Swift","7.761","110.1","51.5","1348"
"Eevee","Quick Attack","Last Resort","7.626","109.9","48.7","1071"
"Eevee","Tackle","Last Resort","7.552","108.9","46.9","1071"
"Yungoos","Tackle","Hyper Fang","8.93","65.6","46.7","880"
"Doduo","Quick Attack","Swift","8.393","71.9","42.5","1200"
"Buneary","Pound","Swift","7.455","100","41.4","1258"
"Chansey","Pound","Hyper Beam","5.171","257.6","35.6","1255"
"Buneary","Quick Attack","Swift","7.129","95.6","34.6","1258"
"Eevee","Quick Attack","Body Slam","6.936","100","33.4","1071"
"Eevee","Tackle","Body Slam","6.927","99.8","33.2","1071"
"Stufful","Take Down","Stomp","6.837","97.6","31.2","1352"
"Whismur","Pound","Return","8.157","57.1","31","671"
"Patrat","Tackle","Return","7.628","66.6","29.6","791"
"Starly","Quick Attack","Return","8.044","55","28.6","719"
"Starly","Tackle","Return","7.978","54.6","27.7","719"
"Alolan Rattata","Quick Attack","Return","7.918","54.6","27.1","734"
"Rattata","Quick Attack","Return","7.918","54.6","27.1","734"
"Alolan Rattata","Tackle","Return","7.841","54.1","26.1","734"
"Rattata","Tackle","Return","7.841","54.1","26.1","734"
"Meowth","Scratch","Return","7.365","64.2","25.6","748"
"Skwovet","Tackle","Body Slam","6.635","87","25.4","944"
"Patrat","Tackle","Hyper Fang","7.265","63.4","24.3","791"
"Alolan Rattata","Quick Attack","Hyper Fang","7.444","51.4","21.2","734"
"Rattata","Quick Attack","Hyper Fang","7.444","51.4","21.2","734"
"Alolan Rattata","Tackle","Hyper Fang","7.419","51.2","20.9","734"
"Rattata","Tackle","Hyper Fang","7.419","51.2","20.9","734"
"Bidoof","Tackle","Return","6.623","68","19.7","721"
"Jigglypuff","Pound","Body Slam","6.492","67.1","18.4","724"
"Eevee","Tackle","Swift","5.967","86","18.3","1071"
"Eevee","Quick Attack","Swift","5.903","85.1","17.5","1071"
"Rattata","Tackle","Body Slam","7.029","48.5","16.8","734"
"Rattata","Quick Attack","Body Slam","7","48.3","16.6","734"
"Whismur","Pound","Stomp","6.976","48.8","16.6","671"
"Meowth","Scratch","Body Slam","6.604","57.5","16.6","748"
"Bidoof","Tackle","Hyper Fang","6.295","64.6","16.1","721"
"Minccino","Pound","Swift","5.994","63.6","13.7","872"
"Wooloo","Tackle","Stomp","5.388","57.8","9","706"
"Igglybuff","Pound","Body Slam","5.921","42.9","8.9","535"
"Fletchling","Quick Attack","Swift","5.539","52.2","8.9","800"
"Bidoof","Take Down","Hyper Fang","5.193","53.3","7.5","721"
"Bidoof","Take Down","Return","5.157","52.9","7.3","721"
"Slakoth","Yawn","Body Slam","4.618","58.3","5.7","1002"
"Galarian Zigzagoon","Tackle","Body Slam","4.571","39.5","3.8","508"
"Wooloo","Take Down","Stomp","4.129","44.3","3.1","706"
"Galarian Zigzagoon","Tackle","Swift","3.923","33.9","2","508"
"Galarian Zigzagoon","Take Down","Body Slam","3.746","32.4","1.7","508"
"Galarian Zigzagoon","Take Down","Swift","3.084","26.6","0.8","508"
"Smeargle","Tackle","Struggle","2.737","30","0.6","431"
"Ditto","Transform","Struggle","1.513","16.6","0.1","832"
