"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Charizard","Fire Spin","Flamethrower","13.998","367.1","1006.9","2889"
"Delphox","Fire Spin","Fire Blast","13.701","380.2","977.8","3059"
"Typhlosion","Incinerate","Overheat","13.865","363.6","969.1","2889"
"Flareon","Ember","Flamethrower","14.162","339.4","964.1","3029"
"Incineroar","Fire Fang","Fire Blast","13.309","405.4","955.6","2996"
"Houndoom","Fire Fang","Flamethrower","14.493","313.4","954.1","2635"
"Cinderace","Ember","Flamethrower","13.903","352.1","946.2","3018"
"Chandelure","Fire Spin","Flame Charge","14.043","326.4","903.9","3268"
"Infernape","Fire Spin","Flamethrower","14.036","320.2","885.4","2683"
"Charizard","Ember","Overheat","13.498","354","870.6","2889"
"Typhlosion","Ember","Overheat","13.498","354","870.6","2889"
"Entei","Fire Fang","Flame Charge","12.596","432.5","864.2","3473"
"Chandelure","Incinerate","Flame Charge","13.814","321.1","846.3","3268"
"Charizard","Fire Spin","Fire Blast","13.349","350.1","832.7","2889"
"Entei","Fire Spin","Flame Charge","12.41","426.1","814.5","3473"
"Houndoom","Fire Fang","Fire Blast","13.772","297.9","778.1","2635"
"Flareon","Fire Spin","Heat Wave","13.354","320","762","3029"
"Charizard","Ember","Flamethrower","13.043","342","758.9","2889"
"Flareon","Ember","Fire Blast","13.293","318.6","748.2","3029"
"Typhlosion","Incinerate","Fire Blast","12.802","335.7","704.3","2889"
"Heatmor","Fire Spin","Flamethrower","13.163","280.2","639","2395"
"Simisear","Fire Spin","Flamethrower","13.207","265.9","612.5","2350"
"Charizard","Ember","Fire Blast","12.273","321.9","595","2889"
"Typhlosion","Ember","Fire Blast","12.273","321.9","595","2889"
"Delphox","Fire Spin","Flame Charge","12.077","335.1","590.3","3059"
"Incineroar","Fire Fang","Flame Charge","11.537","351.4","539.6","2996"
"Emboar","Ember","Flame Charge","12.044","305","533","2982"
"Salazzle","Incinerate","Fire Blast","12.979","240.3","525.4","2479"
"Ninetales","Fire Spin","Weather Ball Fire","11.744","320.8","519.6","2279"
"Rapidash","Fire Spin","Fire Blast","12.379","270.7","513.4","2461"
"Cinderace","Ember","Flame Charge","11.928","302.1","512.6","3018"
"Emboar","Ember","Heat Wave","11.846","300","498.7","2982"
"Pyroar","Fire Fang","Flame Charge","11.936","292.1","496.7","2767"
"Flareon","Ember","Heat Wave","11.98","287.1","493.7","3029"
"Simisear","Fire Spin","Fire Blast","12.427","250.2","480.2","2350"
"Magmar","Ember","Flamethrower","12.16","253.9","456.5","2394"
"Ninetales","Fire Spin","Overheat","11.253","307.4","438","2279"
"Rapidash","Incinerate","Fire Blast","11.844","259","430.2","2461"
"Centiskorch","Ember","Heat Wave","11.049","318.3","429.4","2990"
"Camerupt","Incinerate","Overheat","12.133","237.8","424.7","2193"
"Ninetales","Ember","Weather Ball Fire","11.084","302.7","412.2","2279"
"Magmar","Ember","Fire Punch","11.764","245.6","399.8","2394"
"Camerupt","Ember","Overheat","11.852","232.2","386.7","2193"
"Turtonator","Fire Spin","Overheat","10.915","296.2","385.1","2223"
"Ninetales","Fire Spin","Flamethrower","10.842","296.1","377.4","2279"
"Rapidash","Fire Spin","Heat Wave","11.424","249.8","372.4","2461"
"Rapidash","Ember","Fire Blast","11.366","248.5","364.9","2461"
"Magmar","Ember","Fire Blast","11.317","236.2","342.4","2394"
"Turtonator","Fire Spin","Flamethrower","10.517","285.4","332","2223"
"Ninetales","Ember","Overheat","10.474","286.1","328.8","2279"
"Talonflame","Fire Spin","Fire Blast","10.795","256","322","2205"
"Rapidash","Fire Spin","Flame Charge","11.009","240.7","321.2","2461"
"Ninetales","Fire Spin","Fire Blast","10.367","283.2","315.5","2279"
"Rapidash","Incinerate","Heat Wave","10.939","239.2","313.1","2461"
"Torkoal","Fire Spin","Overheat","10.164","287.5","301.9","2093"
"Rapidash","Incinerate","Flame Charge","10.815","236.5","299.1","2461"
"Turtonator","Ember","Overheat","10.148","275.4","287.7","2223"
"Ninetales","Ember","Flamethrower","10.102","275.9","284.4","2279"
"Talonflame","Incinerate","Fire Blast","10.317","244.7","268.7","2205"
"Rapidash","Ember","Flame Charge","10.466","228.8","262.3","2461"
"Pignite","Ember","Flamethrower","10.827","201.8","256.2","1924"
"Turtonator","Ember","Flamethrower","9.783","265.5","248.6","2223"
"Rapidash","Ember","Heat Wave","10.261","224.4","242.4","2461"
"Ninetales","Fire Spin","Heat Wave","9.562","261.2","228.3","2279"
"Torkoal","Ember","Overheat","9.463","267.7","226.9","2093"
"Ninetales","Ember","Fire Blast","9.539","260.6","226.2","2279"
"Charmeleon","Fire Fang","Flamethrower","10.616","172.4","206.3","1653"
"Raboot","Ember","Flamethrower","10.388","179.6","201.4","1824"
"Talonflame","Fire Spin","Flame Charge","9.541","226.2","196.5","2205"
"Braixen","Ember","Flamethrower","10.377","175.4","196","1813"
"Torracat","Ember","Flamethrower","10.762","156.9","195.6","1710"
"Talonflame","Incinerate","Flame Charge","9.369","222.2","182.7","2205"
"Charmeleon","Fire Fang","Fire Punch","10.152","164.9","172.5","1653"
"Castform (Sunny)","Ember","Weather Ball Fire","9.572","191.3","167.7","1632"
"Charmeleon","Fire Fang","Flame Burst","10.008","162.6","163","1653"
"Combusken","Ember","Flamethrower","10.041","154","155.9","1652"
"Alolan Marowak","Fire Spin","Fire Blast","8.94","212","151.5","1835"
"Ninetales","Ember","Heat Wave","8.607","235.1","149.9","2279"
"Coalossal","Incinerate","Flame Charge","7.884","299.5","146.7","2352"
"Charmeleon","Ember","Flamethrower","9.693","157.4","143.4","1653"
"Quilava","Ember","Flamethrower","9.693","157.4","143.4","1653"
"Darumaka","Fire Fang","Fire Punch","10.168","133.3","140.1","1442"
"Monferno","Ember","Flamethrower","9.865","145.4","139.6","1574"
"Lampent","Ember","Flame Burst","9.745","149.5","138.3","1708"
"Pignite","Ember","Flame Charge","9.208","171.6","134","1924"
"Magcargo","Incinerate","Overheat","8.813","191.5","131.1","1702"
"Litleo","Fire Fang","Flamethrower","9.583","146.1","128.6","1425"
"Charmeleon","Ember","Fire Punch","9.4","152.7","126.8","1653"
"Magcargo","Ember","Overheat","8.646","187.9","121.4","1702"
"Ponyta","Ember","Fire Blast","9.363","140.2","115.1","1697"
"Charmeleon","Ember","Flame Burst","9.118","148.1","112.2","1653"
"Raboot","Ember","Flame Charge","8.899","153.9","108.4","1824"
"Braixen","Ember","Flame Charge","8.907","150.6","106.4","1813"
"Torracat","Ember","Flame Charge","9.208","134.2","104.8","1710"
"Alolan Marowak","Fire Spin","Flame Wheel","8.075","191.5","100.8","1835"
"Ponyta","Ember","Flame Charge","8.842","132.4","91.6","1697"
"Litleo","Ember","Flamethrower","8.768","133.7","90.1","1425"
"Magby","Ember","Flamethrower","9.365","105.9","87","1323"
"Hisuian Growlithe","Ember","Flamethrower","9.06","114.4","85.1","1322"
"Ponyta","Ember","Flame Wheel","8.671","129.9","84.7","1697"
"Combusken","Ember","Flame Charge","8.605","132","84.1","1652"
"Castform (Sunny)","Ember","Fire Blast","8.043","160.7","83.6","1632"
"Lampent","Ember","Heat Wave","8.563","131.3","82.5","1708"
"Houndour","Ember","Flamethrower","9.542","92.8","80.6","1234"
"Magby","Ember","Fire Punch","9.142","103.4","79","1323"
"Quilava","Ember","Flame Charge","8.314","135.1","77.6","1653"
"Darumaka","Fire Fang","Flame Charge","8.75","114.7","76.8","1442"
"Magcargo","Incinerate","Heat Wave","7.575","164.6","71.5","1702"
"Monferno","Ember","Flame Wheel","8.28","122","69.3","1574"
"Growlithe","Ember","Flamethrower","8.683","104.8","68.6","1243"
"Magby","Ember","Flame Burst","8.805","99.6","68","1323"
"Larvesta","Ember","Flame Charge","8.3","113.1","64.7","1496"
"Litleo","Fire Fang","Flame Charge","7.94","121.1","60.6","1425"
"Larvesta","Ember","Flame Wheel","8.138","110.9","59.8","1496"
"Magcargo","Ember","Heat Wave","7.164","155.7","57.2","1702"
"Salandit","Ember","Flamethrower","8.728","85.7","57","1122"
"Fletchinder","Ember","Flame Charge","7.788","116.9","55.2","1469"
"Scorbunny","Ember","Flamethrower","8.533","84.6","52.6","1097"
"Torchic","Ember","Flamethrower","8.307","84.1","48.2","1093"
"Litleo","Ember","Flame Charge","7.495","114.3","48.1","1425"
"Fletchinder","Ember","Heat Wave","7.517","112.8","47.9","1469"
"Litten","Ember","Flamethrower","8.259","77","43.4","1035"
"Tepig","Ember","Flamethrower","7.649","94.5","42.3","1083"
"Carkol","Incinerate","Flame Charge","6.38","156.1","40.6","1512"
"Growlithe","Ember","Flame Wheel","7.286","87.9","34","1243"
"Fennekin","Ember","Flamethrower","7.421","81.3","33.2","1028"
"Charmander","Ember","Flamethrower","7.454","74.3","30.8","980"
"Cyndaquil","Ember","Flamethrower","7.454","74.3","30.8","980"
"Chimchar","Ember","Flamethrower","7.381","73.5","29.5","957"
"Scorbunny","Ember","Flame Charge","7.31","72.5","28.3","1097"
"Vulpix","Ember","Weather Ball Fire","7.033","79.3","27.6","883"
"Torchic","Ember","Flame Charge","7.138","72.3","26.3","1093"
"Pansear","Fire Spin","Flame Burst","6.904","79.4","26.1","956"
"Charmander","Ember","Flame Burst","7.01","69.9","24.1","980"
"Litten","Ember","Flame Charge","7.094","66.2","23.6","1035"
"Litwick","Ember","Flame Burst","6.656","79.3","23.4","1006"
"Slugma","Ember","Flame Burst","7.249","58.4","22.2","895"
"Tepig","Ember","Flame Charge","6.501","80.3","22.1","1083"
"Fennekin","Ember","Flame Charge","6.386","70","18.2","1028"
"Numel","Ember","Heat Wave","6.367","70.6","18.2","1057"
"Vulpix","Ember","Flamethrower","6.307","71.1","17.8","883"
"Charmander","Ember","Flame Charge","6.419","64","16.9","980"
"Cyndaquil","Ember","Flame Charge","6.419","64","16.9","980"
"Sizzlipede","Ember","Heat Wave","6.227","69","16.7","1049"
"Pansear","Fire Spin","Flame Charge","6.123","70.4","16.2","956"
"Litwick","Ember","Flame Charge","6.059","72.2","16.1","1006"
"Chimchar","Ember","Flame Charge","6.332","63","16","957"
"Slugma","Ember","Flame Charge","6.645","53.5","15.7","895"
"Chimchar","Ember","Flame Wheel","6.206","61.8","14.8","957"
"Litwick","Ember","Heat Wave","5.793","69.1","13.4","1006"
"Vulpix","Ember","Flame Charge","5.42","61.1","9.7","883"
