"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Cherubi","Bullet Seed","Seed Bomb","6.825","72.5","23","950"
"Budew","Hidden Power (Grass)","Grass Knot","6.538","76","21.2","856"
"Snivy","Vine Whip","Seed Bomb","6.343","76.8","19.6","849"
"Chikorita","Vine Whip","Energy Ball","6.077","82.6","18.5","935"
"Steenee","Razor Leaf","Grass Knot","6.196","73.1","17.4","757"
"Shroomish","Bullet Seed","Grass Knot","5.659","83.5","15.1","810"
"Snivy","Vine Whip","Energy Ball","5.899","71.4","14.7","849"
"Budew","Razor Leaf","Energy Ball","5.872","68.2","13.8","856"
"Fomantis","Razor Leaf","Energy Ball","6.531","48.3","13.5","741"
"Skiploom","Bullet Seed","Energy Ball","5.431","81.9","13.1","976"
"Cherubi","Bullet Seed","Petal Blizzard","5.871","62.3","12.6","950"
"Cottonee","Razor Leaf","Grass Knot","5.619","66.3","11.8","700"
"Gossifleur","Razor Leaf","Grass Knot","5.582","62.2","10.8","672"
"Budew","Hidden Power (Grass)","Energy Ball","5.492","63.8","10.6","856"
"Shroomish","Bullet Seed","Seed Bomb","5.006","73.8","9.3","810"
"Steenee","Razor Leaf","Energy Ball","5.273","62.2","9.1","757"
"Gossifleur","Bullet Seed","Grass Knot","5.322","59.3","8.9","672"
"Cottonee","Razor Leaf","Seed Bomb","5.154","60.8","8.3","700"
"Seedot","Bullet Seed","Grass Knot","5.499","47.4","7.9","598"
"Shroomish","Bullet Seed","Energy Ball","4.646","68.5","6.9","810"
"Hoppip","Bullet Seed","Grass Knot","5.137","49","6.6","600"
"Cottonee","Razor Leaf","Energy Ball","4.822","56.9","6.4","700"
"Gossifleur","Razor Leaf","Energy Ball","4.784","53.3","5.8","672"
"Lotad","Razor Leaf","Energy Ball","4.909","42.3","5","598"
"Hoppip","Bullet Seed","Seed Bomb","4.607","43.9","4.3","600"
"Gossifleur","Bullet Seed","Energy Ball","4.381","48.8","4.1","672"
"Seedot","Bullet Seed","Energy Ball","4.511","38.9","3.6","598"
"Sunkern","Razor Leaf","Grass Knot","4.808","27.3","3","395"
"Sunkern","Razor Leaf","Seed Bomb","4.462","25.4","2.3","395"
"Bounsweet","Razor Leaf","Energy Ball","4.084","32.9","2.2","470"
"Sunkern","Razor Leaf","Energy Ball","4.074","23.2","1.6","395"
