"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Oricorio (Pa'u Style)","Air Slash","Air Cutter","10.206","222.1","236.1","2333"
"Oricorio (Pom-Pom Style)","Air Slash","Air Cutter","10.206","222.1","236.1","2333"
"Oricorio (Sensu Style)","Air Slash","Air Cutter","10.206","222.1","236.1","2333"
"Pelipper","Wing Attack","Hurricane","10.143","226.2","236","2127"
"Murkrow","Peck","Drill Peck","11.797","142","233.1","1562"
"Pidgeot","Wing Attack","Hurricane","9.859","242.8","232.7","2129"
"Pidgeot","Gust","Aerial Ace","9.826","242","229.6","2129"
"Talonflame","Peck","Hurricane","9.901","234.8","227.9","2205"
"Vivillon","Gust","Hurricane","10.713","179.8","221.1","1855"
"Pidgeot","Air Slash","Hurricane","9.661","237.9","214.6","2129"
"Masquerain","Air Slash","Air Cutter","9.988","213.9","213.1","2270"
"Vivillon","Gust","Aerial Ace","10.591","177.8","211.2","1855"
"Swellow","Wing Attack","Aerial Ace","10.625","174.2","209","1920"
"Pidgeot","Wing Attack","Aerial Ace","9.575","235.8","207","2129"
"Pidgeot","Air Slash","Aerial Ace","9.532","234.8","203.3","2129"
"Mothim","Air Slash","Aerial Ace","10.815","158.6","200.6","1815"
"Fearow","Peck","Aerial Ace","10.206","186.6","198.4","1997"
"Trumbeak","Peck","Sky Attack","11.143","143.2","198.1","1478"
"Rufflet","Wing Attack","Brave Bird","10.568","153.6","181.3","1491"
"Dartrix","Peck","Brave Bird","9.539","204.9","177.8","1725"
"Pidgeot","Gust","Air Cutter","9.113","224.4","169.9","2129"
"Trumbeak","Peck","Drill Peck","10.638","136.7","164.5","1478"
"Tranquill","Air Slash","Sky Attack","10.246","150.1","161.4","1442"
"Mantine","Wing Attack","Aerial Ace","8.462","251.9","152.6","2108"
"Pidgeot","Air Slash","Air Cutter","8.795","216.6","147.4","2129"
"Rufflet","Peck","Brave Bird","10.019","145.6","146.5","1491"
"Pidgeot","Wing Attack","Air Cutter","8.747","215.4","144.2","2129"
"Swoobat","Air Slash","Aerial Ace","9.401","159.1","132.2","1716"
"Mandibuzz","Air Slash","Aerial Ace","7.553","296.4","127.7","2138"
"Tropius","Air Slash","Aerial Ace","7.998","235.1","120.3","1941"
"Golbat","Wing Attack","Air Cutter","8.51","191","117.7","1976"
"Gligar","Wing Attack","Aerial Ace","8.294","203.9","116.3","1857"
"Staravia","Wing Attack","Brave Bird","9.854","120","114.8","1299"
"Doduo","Peck","Drill Peck","10.587","90.7","107.7","1200"
"Corvisquire","Air Slash","Drill Peck","8.898","142","100","1363"
"Yanma","Wing Attack","Aerial Ace","9.244","124.5","98.3","1470"
"Corvisquire","Peck","Drill Peck","8.842","141.1","97.6","1363"
"Rufflet","Wing Attack","Aerial Ace","9.029","131.2","96.6","1491"
"Corvisquire","Air Slash","Brave Bird","8.776","140.1","94.7","1363"
"Corvisquire","Peck","Brave Bird","8.75","139.7","93.6","1363"
"Rufflet","Peck","Aerial Ace","8.841","128.5","88.8","1491"
"Togetic","Hidden Power (Flying)","Aerial Ace","7.766","170.1","79.7","1708"
"Tranquill","Air Slash","Aerial Ace","8.574","125.6","79.2","1442"
"Fletchinder","Peck","Aerial Ace","8.465","127","77","1469"
"Doduo","Peck","Brave Bird","9.64","82.6","74","1200"
"Natu","Peck","Drill Peck","9.156","89.2","68.5","1102"
"Staravia","Wing Attack","Aerial Ace","8.578","104.5","65.9","1299"
"Pikipek","Peck","Sky Attack","9.891","64","61.9","910"
"Doduo","Peck","Aerial Ace","9.173","78.6","60.7","1200"
"Vullaby","Air Slash","Brave Bird","7.349","146.9","58.3","1271"
"Pikipek","Peck","Drill Peck","9.632","62.3","55.7","910"
"Pidgeot","Gust","Feather Dance","6.884","169.5","55.3","2129"
"Pidgeot","Air Slash","Feather Dance","6.758","166.5","51.4","2129"
"Farfetch'd","Air Slash","Aerial Ace","7.465","105.1","43.7","1236"
"Pidgeot","Wing Attack","Feather Dance","6.402","157.7","41.4","2129"
"Pidgeotto","Wing Attack","Aerial Ace","7.236","105.5","40","1194"
"Spearow","Peck","Sky Attack","8.467","59.5","36.1","798"
"Spearow","Peck","Drill Peck","8.197","57.6","31.7","798"
"Farfetch'd","Air Slash","Air Cutter","6.845","96.3","30.9","1236"
"Pikipek","Peck","Aerial Ace","8.296","53.7","30.7","910"
"Pidgeotto","Wing Attack","Air Cutter","6.575","95.8","27.2","1194"
"Woobat","Air Slash","Aerial Ace","6.782","83.8","26.1","1016"
"Ducklett","Wing Attack","Brave Bird","6.491","86.5","23.7","856"
"Woobat","Air Slash","Air Cutter","6.183","76.4","18.1","1016"
"Spearow","Peck","Aerial Ace","7.06","49.6","17.5","798"
"Pidove","Air Slash","Aerial Ace","6.287","63","15.7","848"
"Taillow","Peck","Aerial Ace","6.731","47.9","14.6","765"
"Rookidee","Air Slash","Drill Peck","6.637","49.5","14.5","666"
"Rookidee","Peck","Drill Peck","6.608","49.3","14.2","666"
"Ducklett","Wing Attack","Aerial Ace","5.556","74","12.7","856"
"Fletchling","Peck","Aerial Ace","6.023","56.8","12.4","800"
"Hoothoot","Peck","Sky Attack","5.557","67.5","11.6","677"
"Pidove","Air Slash","Air Cutter","5.718","57.3","10.7","848"
"Rookidee","Air Slash","Brave Bird","5.957","44.4","9.4","666"
"Rookidee","Peck","Brave Bird","5.951","44.4","9.3","666"
"Swablu","Peck","Aerial Ace","4.863","70.9","8.2","824"
"Hoothoot","Peck","Aerial Ace","4.58","55.6","5.3","677"
"Noibat","Wing Attack","Air Cutter","5.007","41.3","5.2","667"
