"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Roggenrola","Smack Down","Rock Blast","7.553","105.5","45.5","1205"
"Dwebble","Smack Down","Rock Blast","7.312","110.3","43.1","1224"
"Roggenrola","Smack Down","Stone Edge","7.441","103.9","42.8","1205"
"Dwebble","Smack Down","Rock Tomb","6.888","103.9","34","1224"
"Rockruff","Rock Throw","Stone Edge","7.47","68.9","28.7","950"
"Onix","Rock Throw","Rock Slide","5.993","129.4","27.9","1101"
"Rockruff","Rock Throw","Rock Tomb","7.131","65.8","23.9","950"
"Onix","Rock Throw","Stone Edge","5.73","123.7","23.3","1101"
"Nosepass","Rock Throw","Rock Slide","5.82","108.7","21.4","993"
"Nosepass","Rock Throw","Rock Blast","5.442","101.6","16.4","993"
"Rolycoly","Smack Down","Rock Slide","5.277","45.4","6.7","612"
"Rolycoly","Smack Down","Rock Blast","4.996","43","5.4","612"
"Shuckle","Rock Throw","Stone Edge","2.165","61.8","0.6","405"
"Shuckle","Rock Throw","Rock Blast","2.064","58.9","0.5","405"
