"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mr. Rime","Ice Shard","Icy Wind","10.319","284.8","312.9","2827"
"Abomasnow","Powder Snow","Blizzard","10.293","274.3","299.2","2362"
"Alolan Sandslash","Powder Snow","Blizzard","10.105","288.6","297.9","2432"
"Articuno","Ice Shard","Icy Wind","9.329","360.8","292.9","3051"
"Frosmoth","Powder Snow","Icy Wind","10.723","236.6","291.7","2728"
"Cloyster","Frost Breath","Aurora Beam","9.949","284.4","280.1","2547"
"Alolan Ninetales","Powder Snow","Ice Beam","10.006","277.3","277.8","2309"
"Alolan Sandslash","Powder Snow","Ice Punch","9.816","280.4","265.2","2432"
"Eiscue (Ice Face)","Powder Snow","Weather Ball Ice","9.801","280","263.6","2065"
"Cloyster","Ice Shard","Aurora Beam","9.663","276.2","249.2","2547"
"Alolan Ninetales","Powder Snow","Blizzard","9.736","269.8","249","2309"
"Sneasel","Ice Shard","Ice Punch","10.822","194.7","246.7","2051"
"Cloyster","Frost Breath","Icy Wind","9.245","264.3","208.8","2547"
"Cloyster","Ice Shard","Icy Wind","8.981","256.7","185.9","2547"
"Dewgong","Frost Breath","Blizzard","8.752","258.9","173.6","1985"
"Castform (Snowy)","Powder Snow","Weather Ball Ice","9.507","190","163.2","1632"
"Dewgong","Ice Shard","Blizzard","8.456","250.1","151.2","1985"
"Vanillish","Frost Breath","Ice Beam","9.424","154.1","129","1591"
"Galarian Darumaka","Ice Fang","Ice Beam","9.704","127.2","116.2","1442"
"Dewgong","Frost Breath","Aurora Beam","7.898","233.6","115.1","1985"
"Amaura","Frost Breath","Weather Ball Ice","9.02","154.5","113.4","1363"
"Castform (Snowy)","Powder Snow","Ice Beam","8.538","170.6","106.2","1632"
"Amaura","Powder Snow","Weather Ball Ice","8.844","151.5","104.8","1363"
"Dewgong","Ice Shard","Aurora Beam","7.675","227","102.6","1985"
"Eiscue (Noice Face)","Powder Snow","Icy Wind","8.363","175.2","102.5","2040"
"Galarian Darumaka","Ice Fang","Ice Punch","9.312","122.1","98.6","1442"
"Smoochum","Frost Breath","Ice Beam","9.745","102.5","94.9","1291"
"Castform (Snowy)","Powder Snow","Blizzard","8.176","163.4","89.3","1632"
"Smoochum","Frost Breath","Ice Punch","9.5","99.9","85.7","1291"
"Dewgong","Frost Breath","Icy Wind","7.295","215.8","83.8","1985"
"Smoochum","Powder Snow","Ice Beam","9.358","98.4","80.7","1291"
"Dewgong","Ice Shard","Icy Wind","7.098","209.9","75.1","1985"
"Eiscue (Ice Face)","Powder Snow","Icy Wind","7.135","203.8","74","2065"
"Sealeo","Powder Snow","Aurora Beam","7.454","168.8","69.9","1714"
"Smoochum","Powder Snow","Ice Punch","9.008","94.8","69.3","1291"
"Vanillish","Frost Breath","Icy Wind","7.87","128.7","62.7","1591"
"Amaura","Frost Breath","Aurora Beam","7.335","125.6","49.6","1363"
"Snover","Ice Shard","Ice Beam","7.459","105.6","43.8","1159"
"Alolan Sandshrew","Powder Snow","Blizzard","7.274","110.5","42.5","1293"
"Snover","Powder Snow","Ice Beam","7.353","104.1","41.4","1159"
"Delibird","Ice Shard","Ice Punch","7.931","82.6","41.2","1094"
"Cubchoo","Powder Snow","Ice Punch","7.954","79.1","39.8","1069"
"Amaura","Powder Snow","Aurora Beam","6.897","118.1","38.8","1363"
"Vanillite","Powder Snow","Ice Beam","7.311","78.6","30.7","1033"
"Snorunt","Powder Snow","Avalanche","6.912","80.2","26.5","888"
"Alolan Vulpix","Powder Snow","Weather Ball Ice","6.957","78.4","26.4","883"
"Delibird","Ice Shard","Icy Wind","6.778","70.6","22","1094"
"Cubchoo","Powder Snow","Icy Wind","6.699","66.6","20","1069"
"Alolan Vulpix","Powder Snow","Ice Beam","6.159","69.4","16.2","883"
"Vanillite","Powder Snow","Icy Wind","5.977","64.2","13.7","1033"
"Alolan Vulpix","Powder Snow","Blizzard","5.68","64","11.7","883"
"Snorunt","Powder Snow","Icy Wind","5.08","58.9","7.7","888"
"Swinub","Powder Snow","Icy Wind","4.993","44.2","5.5","741"
"Snom","Powder Snow","Icy Wind","4.315","25.9","2.1","528"
